 d-2	 d-1	 d0	 d+1	 d+2
1.002416585175735264e+02 1.002311584641412452e+02 1.001847999999978356e+02 9.991527798588184339e+01 9.810814874063763114e+01
1.002446735209340147e+02 1.002342490628429204e+02 1.001880999999979451e+02 9.991848036166241798e+01 9.810042278771841495e+01
1.002483733786787923e+02 1.002390292321305907e+02 1.001954999999981908e+02 9.992611883837911080e+01 9.800968800075399656e+01
1.002480983122791258e+02 1.002392492425586425e+02 1.001970999999982439e+02 9.992866971130935383e+01 9.796546409487497442e+01
1.002395791361514057e+02 1.002318042496350046e+02 1.001930999999981111e+02 9.992810137912159973e+01 9.784103130939594450e+01
1.002310864046469021e+02 1.002229377020153294e+02 1.001846999999978323e+02 9.992125224005611983e+01 9.775787659351404102e+01
1.002329444003075594e+02 1.002243899458935346e+02 1.001857999999978688e+02 9.992254972855528194e+01 9.772706317929963404e+01
1.002331401144763419e+02 1.002242330892294859e+02 1.001852999999978522e+02 9.992229326258582489e+01 9.769295684272248081e+01
1.002353887841025255e+02 1.002264152844490184e+02 1.001873999999979219e+02 9.992442343168191599e+01 9.768843773116250873e+01
1.002316666812032224e+02 1.002223503343880964e+02 1.001828999999977725e+02 9.992029360361252088e+01 9.763858101820090951e+01
1.002272144535058231e+02 1.002167765541621378e+02 1.001753999999975235e+02 9.991235550355018802e+01 9.752895411043277818e+01
1.002275269427114495e+02 1.002169649600811425e+02 1.001752999999975202e+02 9.991202148001185890e+01 9.751717786304025992e+01
1.002326164033746636e+02 1.002217505044553576e+02 1.001792999999976530e+02 9.991528837200765167e+01 9.748993520397469581e+01
1.002482461212071314e+02 1.002373950322346303e+02 1.001934999999981244e+02 9.992746938722230254e+01 9.738185405775909942e+01
1.002511918787847520e+02 1.002413002059231388e+02 1.001985999999982937e+02 9.993320352503630488e+01 9.734138782540631496e+01
1.002530771169933672e+02 1.002440914276631503e+02 1.002027999999984331e+02 9.993846009665767838e+01 9.730734614602937427e+01
1.002348610007419865e+02 1.002284848323733257e+02 1.001919999999980746e+02 9.993213275258554518e+01 9.718553015831719222e+01
1.002316148944764080e+02 1.002246781034531011e+02 1.001882999999979518e+02 9.992951351874721411e+01 9.711750405975281808e+01
1.002341066042503712e+02 1.002262661501495700e+02 1.001893999999979883e+02 9.993145985661425357e+01 9.703343733009570826e+01
1.002265540932979917e+02 1.002184839857431768e+02 1.001814999999977260e+02 9.992402618850165652e+01 9.698403478627930951e+01
1.002464082984207465e+02 1.002357086174869210e+02 1.001953999999981875e+02 9.993750942481334221e+01 9.679115663236511580e+01
1.002544559314104760e+02 1.002445480111548619e+02 1.002050999999985095e+02 9.994847716268263582e+01 9.671616295521276641e+01
